product_id	product_name	category_id	price	is_active
1	品牌A T恤 黑色 S	1	20.00	1
2	品牌A T恤 黑色 M	1	30.00	1
3	品牌A T恤 黑色 L	1	40.00	1
4	品牌A T恤 黑色 XL	1	50.00	1
5	品牌A T恤 黑色 均一	1	60.00	1
6	品牌A T恤 白色 S	1	70.00	1
7	品牌A T恤 白色 M	1	80.00	1
8	品牌A T恤 白色 L	1	90.00	1
9	品牌A T恤 白色 XL	1	100.00	1
10	品牌A T恤 白色 均一	1	110.00	1
11	品牌A T恤 藍色 S	1	120.00	1
12	品牌A T恤 藍色 M	1	130.00	1
13	品牌A T恤 藍色 L	1	140.00	1
14	品牌A T恤 藍色 XL	1	150.00	1
15	品牌A T恤 藍色 均一	1	160.00	1
16	品牌A T恤 紅色 S	1	170.00	1
17	品牌A T恤 紅色 M	1	180.00	1
18	品牌A T恤 紅色 L	1	190.00	1
19	品牌A T恤 紅色 XL	1	200.00	1
20	品牌A T恤 紅色 均一	1	210.00	1
21	品牌A T恤 灰色 S	1	220.00	1
22	品牌A T恤 灰色 M	1	230.00	1
23	品牌A T恤 灰色 L	1	240.00	1
24	品牌A T恤 灰色 XL	1	250.00	1
25	品牌A T恤 灰色 均一	1	260.00	1
26	品牌A T恤 綠色 S	1	270.00	1
27	品牌A T恤 綠色 M	1	280.00	1
28	品牌A T恤 綠色 L	1	290.00	1
29	品牌A T恤 綠色 XL	1	300.00	1
30	品牌A T恤 綠色 均一	1	310.00	1
31	品牌A T恤 米色 S	1	320.00	1
32	品牌A T恤 米色 M	1	330.00	1
33	品牌A T恤 米色 L	1	340.00	1
34	品牌A T恤 米色 XL	1	350.00	1
35	品牌A T恤 米色 均一	1	360.00	1
36	品牌A T恤 粉色 S	1	370.00	1
37	品牌A T恤 粉色 M	1	380.00	1
38	品牌A T恤 粉色 L	1	390.00	1
39	品牌A T恤 粉色 XL	1	400.00	1
40	品牌A T恤 粉色 均一	1	410.00	1
41	品牌A T恤 黃色 S	1	420.00	1
42	品牌A T恤 黃色 M	1	430.00	1
43	品牌A T恤 黃色 L	1	440.00	1
44	品牌A T恤 黃色 XL	1	450.00	1
45	品牌A T恤 黃色 均一	1	460.00	1
46	品牌A T恤 紫色 S	1	470.00	1
47	品牌A T恤 紫色 M	1	480.00	1
48	品牌A T恤 紫色 L	1	490.00	1
49	品牌A T恤 紫色 XL	1	500.00	1
50	品牌A T恤 紫色 均一	1	510.00	0
51	品牌A 外套 黑色 S	1	520.00	1
52	品牌A 外套 黑色 M	1	530.00	1
53	品牌A 外套 黑色 L	1	540.00	1
54	品牌A 外套 黑色 XL	1	550.00	1
55	品牌A 外套 黑色 均一	1	560.00	1
56	品牌A 外套 白色 S	1	570.00	1
57	品牌A 外套 白色 M	1	580.00	1
58	品牌A 外套 白色 L	1	590.00	1
59	品牌A 外套 白色 XL	1	600.00	1
60	品牌A 外套 白色 均一	1	610.00	1
61	品牌A 外套 藍色 S	1	620.00	1
62	品牌A 外套 藍色 M	1	630.00	1
63	品牌A 外套 藍色 L	1	640.00	1
64	品牌A 外套 藍色 XL	1	650.00	1
65	品牌A 外套 藍色 均一	1	660.00	1
66	品牌A 外套 紅色 S	1	670.00	1
67	品牌A 外套 紅色 M	1	680.00	1
68	品牌A 外套 紅色 L	1	690.00	1
69	品牌A 外套 紅色 XL	1	700.00	1
70	品牌A 外套 紅色 均一	1	710.00	1
71	品牌A 外套 灰色 S	1	720.00	1
72	品牌A 外套 灰色 M	1	730.00	1
73	品牌A 外套 灰色 L	1	740.00	1
74	品牌A 外套 灰色 XL	1	750.00	1
75	品牌A 外套 灰色 均一	1	760.00	1
76	品牌A 外套 綠色 S	1	770.00	1
77	品牌A 外套 綠色 M	1	780.00	1
78	品牌A 外套 綠色 L	1	790.00	1
79	品牌A 外套 綠色 XL	1	800.00	1
80	品牌A 外套 綠色 均一	1	810.00	1
81	品牌A 外套 米色 S	1	820.00	1
82	品牌A 外套 米色 M	1	830.00	1
83	品牌A 外套 米色 L	1	840.00	1
84	品牌A 外套 米色 XL	1	850.00	1
85	品牌A 外套 米色 均一	1	860.00	1
86	品牌A 外套 粉色 S	1	870.00	1
87	品牌A 外套 粉色 M	1	880.00	1
88	品牌A 外套 粉色 L	1	890.00	1
89	品牌A 外套 粉色 XL	1	900.00	1
90	品牌A 外套 粉色 均一	1	910.00	1
91	品牌A 外套 黃色 S	1	920.00	1
92	品牌A 外套 黃色 M	1	930.00	1
93	品牌A 外套 黃色 L	1	940.00	1
94	品牌A 外套 黃色 XL	1	950.00	1
95	品牌A 外套 黃色 均一	1	960.00	1
96	品牌A 外套 紫色 S	1	970.00	1
97	品牌A 外套 紫色 M	1	980.00	1
98	品牌A 外套 紫色 L	1	990.00	1
99	品牌A 外套 紫色 XL	1	1000.00	1
100	品牌A 外套 紫色 均一	1	1010.00	0
101	品牌A 無線耳機 黑色 S	2	1020.00	1
102	品牌A 無線耳機 黑色 M	2	1030.00	1
103	品牌A 無線耳機 黑色 L	2	1040.00	1
104	品牌A 無線耳機 黑色 XL	2	1050.00	1
105	品牌A 無線耳機 黑色 均一	2	1060.00	1
106	品牌A 無線耳機 白色 S	2	1070.00	1
107	品牌A 無線耳機 白色 M	2	1080.00	1
108	品牌A 無線耳機 白色 L	2	1090.00	1
109	品牌A 無線耳機 白色 XL	2	1100.00	1
110	品牌A 無線耳機 白色 均一	2	1110.00	1
111	品牌A 無線耳機 藍色 S	2	1120.00	1
112	品牌A 無線耳機 藍色 M	2	1130.00	1
113	品牌A 無線耳機 藍色 L	2	1140.00	1
114	品牌A 無線耳機 藍色 XL	2	1150.00	1
115	品牌A 無線耳機 藍色 均一	2	1160.00	1
116	品牌A 無線耳機 紅色 S	2	1170.00	1
117	品牌A 無線耳機 紅色 M	2	1180.00	1
118	品牌A 無線耳機 紅色 L	2	1190.00	1
119	品牌A 無線耳機 紅色 XL	2	1200.00	1
120	品牌A 無線耳機 紅色 均一	2	1210.00	1
121	品牌A 無線耳機 灰色 S	2	1220.00	1
122	品牌A 無線耳機 灰色 M	2	1230.00	1
123	品牌A 無線耳機 灰色 L	2	1240.00	1
124	品牌A 無線耳機 灰色 XL	2	1250.00	1
125	品牌A 無線耳機 灰色 均一	2	1260.00	1
126	品牌A 無線耳機 綠色 S	2	1270.00	1
127	品牌A 無線耳機 綠色 M	2	1280.00	1
128	品牌A 無線耳機 綠色 L	2	1290.00	1
